Name,Email,City,Business
Skaha Dental Centre,info@skahadental.com,Penticton,Skaha Dental Centre
Smile Enhancement Studio,info@smilestudio.ca,Penticton,Smile Enhancement Studio
Penticton Smile & implant Centre,info@winnipegstreetdental.ca,Penticton,Penticton Smile & implant Centre
Penticton Dental Arts,info@pentictondentalarts.ca,Penticton,Penticton Dental Arts
Penticton Pain Clinic,info@pentictonpainclinic.com,Penticton,Penticton Pain Clinic
Penticton Physiotherapy & IMS Clinic,info@pentictonphysiotherapy.com,Penticton,Penticton Physiotherapy & IMS Clinic
Penticton Chiropractic & Co,pentictonchiropracticco@gmail.com,Penticton,Penticton Chiropractic & Co
OKGN Core Chiropractic Penticton,drshawnatyler@gmail.com,Penticton,OKGN Core Chiropractic Penticton
Dr Beau Bradley Soft Tissue Sports Chiropractor,DRBEAUBRADLEY@gmail.com,Penticton,Dr Beau Bradley Soft Tissue Sports Chiropractor
Penticton Skaha Physiotherapy & Wellness,skahaphysio@gmail.com,Penticton,Penticton Skaha Physiotherapy & Wellness
Eye Brain Fix,chirohughess@gmail.com,Penticton,Eye Brain Fix
Skaha Health Chiropractor,info@skahahealth.ca,Penticton,Skaha Health Chiropractor
FH&P Lawyers,info@fhplawyers.com,Penticton,FH&P Lawyers
Jaimie Kidston Law Office,reception@kidstonlaw.com,Penticton,Jaimie Kidston Law Office
TNG Legal Services MDP,info@thenotarygroup.ca,Penticton,TNG Legal Services MDP
Interior Law LLP,reception@interiorlaw.com,Penticton,Interior Law LLP
KOKM Lawyers,reception@kokm.ca,Penticton,KOKM Lawyers
Hardford Smirle LLP,nicole@hardfordsmirle.ca,Penticton,Hardford Smirle LLP
Wyper Law,info@wyperlaw.ca,Penticton,Wyper Law
Laura & Ward Association of Lawyers,laura@laurawardlaw.com,Penticton,Laura & Ward Association of Lawyers
White and Company Family Law,admin@wandcfl.com,Penticton,White and Company Family Law
Fletcher King Law ,admin@fklawcorp.com,Penticton,Fletcher King Law 
ResetMyDebt,admin@resetmydebt.ca,Penticton,ResetMyDebt
FireBird Law,paule@firebirdlaw.ca,Penticton,FireBird Law
Visa Venue Immigration,visavenueimmigration@gmail.com,Penticton,Visa Venue Immigration
Avery Law Office,info@averylawoffice.ca,Penticton,Avery Law Office
Long Haggerty Chartered Professional Accountants,admin@lhrllp.ca,Penticton,Long Haggerty Chartered Professional Accountants
Preferred Tax Services Ltd,ptstax@telus.net,Penticton,Preferred Tax Services Ltd
HLW Chartered Professional Accountants Inc.,info@hlw-cpa.com,Penticton,HLW Chartered Professional Accountants Inc.
Omland Heal Chartered Professional Accountants,info@omlandheal.com,Penticton,Omland Heal Chartered Professional Accountants
Darren B Wilms CPA ,darren@wilms.ca,Penticton,Darren B Wilms CPA 
Elliot and Lee Business Management Inc.,admin@elliotandlee.com,Penticton,Elliot and Lee Business Management Inc.
Doane Grant Thornton,generalinquires@doane.gt.ca,Penticton,Doane Grant Thornton
Consider It Done Bookkeeping,accounting@cidbooks.com,Penticton,Consider It Done Bookkeeping
Spokes - Clinic Naturopathy,info@spokesclinic.com,Penticton,Spokes - Clinic Naturopathy
FYI Doctors Optometry Clinic,penticton.marinaway@fyidoctors.com,Penticton,FYI Doctors Optometry Clinic
South Okanagan Laser and Skin Centre,info@solaserandskin.ca,Penticton,South Okanagan Laser and Skin Centre
Own Your Skin Penticton,ownyourskin100@gmail.com,Penticton,Own Your Skin Penticton
Renew Laser & Skin Clinic,infopenticton@dermapure.com,Penticton,Renew Laser & Skin Clinic
Penticton Headicure Headspa,pentictonheadspa@gmail.com,Penticton,Penticton Headicure Headspa
Without A Doubt Day Spa,withoutadoubt@shaw.ca,Penticton,Without A Doubt Day Spa
La Creme Skin Care & Boutique,hello@lacremeluxe.com,Penticton,La Creme Skin Care & Boutique
Glow Skin Care Clinic,glowskincarepenticton@gmail.com,Penticton,Glow Skin Care Clinic
vida Flow Mind Body Skin Clinic,hello@vida-flow.com,Penticton,vida Flow Mind Body Skin Clinic
Blue Dragon Medicine,paragonhealing@gmail.com,Penticton,Blue Dragon Medicine
Omra Salon and Medspa,OMRASALONANDMEDSPA@GMAIL.COM,Penticton,Omra Salon and Medspa
Beauty By Shayla in Vida + Flow,shaylab@vida-flow.com,Penticton,Beauty By Shayla in Vida + Flow
Lasting Impressions By Amelia Day Spa,lastingimpressions@telus.net,Penticton,Lasting Impressions By Amelia Day Spa
The Annex Wellness Project,theannexorthodontics@gmail.com,Penticton,The Annex Wellness Project
Ostara Medical Aesthetics and Wellness,info@ostarahealth.ca,Penticton,Ostara Medical Aesthetics and Wellness
Flex Academy,info@flex.academy.com,Penticton,Flex Academy
re:pilates,re.pilatesstudio@gmail.com,Penticton,re:pilates
Sol Classical Pilates,solclassicalpilates@gmail.com,Penticton,Sol Classical Pilates
Studio One Penticton,info@studioonepenticton.com,Penticton,Studio One Penticton
Community Future - Okanagan Similkameen ,info@cfokanagan.com,,Community Future - Okanagan Similkameen 
OKV Chartered Professional Accountants,info@okvCPAs.com,,OKV Chartered Professional Accountants
Penticton & Area Access Centre,support@accesscentre.org,,Penticton & Area Access Centre
1st Choice Tax Service,1st.site@1stchoicetaxservice.ca,,1st Choice Tax Service
Preferred Tax Services Ltd,ptstax@telus.net,,Preferred Tax Services Ltd
Fraser Bevz Broughton Chartered Accountants,ryan@fbbcpa.ca,,Fraser Bevz Broughton Chartered Accountants
Pentone Creative,kelly@pentone.ca,,Pentone Creative
Addventive Bookkeeping,addventive@usa.net,,Addventive Bookkeeping
"Darren B Wilms, CPA CMA",darren@wilms.ca,,"Darren B Wilms, CPA CMA"
Penticton Herald,csr@pentictonherald.ca,,Penticton Herald
"Pius Omene (Barrister, Solicitor & Notary Public)",info@piusomene.com,,"Pius Omene (Barrister, Solicitor & Notary Public)"
Chamberlain Property Group,info@cpg.email,,Chamberlain Property Group
Visa Venue Immigration,visavenueimmigration@gmail.com,,Visa Venue Immigration
Interior Law,reception@interiorlaw.ca,,Interior Law
South Okanagan Immigrant & Community Services,admin@soics.ca,,South Okanagan Immigrant & Community Services
City of Penticton Bylaw Services,ask@penticton.ca,,City of Penticton Bylaw Services
Okanagan Notaries,reception@okanagannotaries.ca,,Okanagan Notaries
Notary Pro,support@notarypro.ca,,Notary Pro
The Notary Group - Penticton,info@thenotarygroup.ca,,The Notary Group - Penticton
White & Company Family Law,admin@wandcfl.com,,White & Company Family Law
FireBird Law,paule@firebirdlaw.ca,,FireBird Law
Jaimie Kidston Law Office,reception@kidstonlaw.com,,Jaimie Kidston Law Office
Tondo Boxing Club,tondoboxingclub@gmail.com,,Tondo Boxing Club
Sunfit Studio,sunfitstudio.summerland@gmail.com,,Sunfit Studio
Penticton Champion Taekwondo,admin@pentictontaekwondo.com,,Penticton Champion Taekwondo
Active Living Services,info@activelivingservices.ca,,Active Living Services
Steady Effort Yoga â¢ Wellness â¢ Sound,steadyeffortyoga@gmail.com,,Steady Effort Yoga â¢ Wellness â¢ Sound
Penticton Pain Clinic,info@pentictonpainclinic.com,,Penticton Pain Clinic
First Strike Martial Arts,thecareys@shaw.ca,,First Strike Martial Arts
Progressive Elite Training,sheila@progressiveelitetraining.com,,Progressive Elite Training
Penticton Vees,info@pentictonvees.com,,Penticton Vees
Reflexions Yoga Studio and School,info@reflexions-studio.com,,Reflexions Yoga Studio and School
